,category,place,ad_type,year_of_construction,Advertiser,Room_number,Area,Deposit,Lease
3503,خانه و ویلا,تهران شهر قدس,ارائه,۱۳۸۰,مشاور املاک,یک,۶۰,۳۵٫۰۰۰٫۰۰۰ تومان,۱۰۰٫۰۰۰ تومان
3504,خانه و ویلا,تهران پرند,ارائه,۱۳۸۸,مشاور املاک,دو,۲۰۰,۵۰٫۰۰۰٫۰۰۰ تومان,۲٫۱۰۰٫۰۰۰ تومان
3505,خانه و ویلا,تهران شهرک غرب,ارائه,۱۳۹۵,مشاور املاک,چهار,۲۸۰,۱٫۷۵۰٫۰۰۰٫۰۰۰ تومان,توافقی
3506,خانه و ویلا,تهران فرمانیه,ارائه,۱۳۸۰,مشاور املاک,سه,۵۵۰,توافقی,توافقی
3507,خانه و ویلا,تهران شهرک غرب,ارائه,۱۳۸۰,مشاور املاک,پنج یا بیشتر,۷۰۰,توافقی,توافقی
3508,خانه و ویلا,تهران استاد معین,ارائه,۱۳۷۲,شخصی,یک,۵۵,۲٫۰۰۰٫۰۰۰ تومان,۴۰۰٫۰۰۰ تومان
3509,خانه و ویلا,تهران کوی هفدهم شهریور,ارائه,۱۳۸۶,شخصی,سه,۱۲۵,۲۰٫۰۰۰٫۰۰۰ تومان,۲٫۸۰۰٫۰۰۰ تومان
3510,خانه و ویلا,تهران ستارخان,ارائه,۱۳۷۱,مشاور املاک,سه,۲۵۰,۸۰۰٫۰۰۰٫۰۰۰ تومان,توافقی
3511,خانه و ویلا,تهران شهرک غرب,ارائه,۱۳۹۸,شخصی,سه,۲۵۰,توافقی,توافقی
3512,خانه و ویلا,تهران پاسداران,ارائه,۱۳۸۸,شخصی,دو,۶۰۰,۳۸۵٫۰۰۰٫۰۰۰ تومان,توافقی
3513,خانه و ویلا,تهران جردن,ارائه,۱۳۸۰,مشاور املاک,پنج یا بیشتر,۱۳۰۰,توافقی,توافقی
3514,خانه و ویلا,تهران رودهن,ارائه,۱۳۸۸,شخصی,سه,۱۶۸,توافقی,توافقی
3515,خانه و ویلا,تهران لواسان,ارائه,۱۳۹۵,مشاور املاک,چهار,۶۵۰,۱٫۵۰۰٫۰۰۰٫۰۰۰ تومان,توافقی
3516,خانه و ویلا,تهران شهرک غرب,ارائه,۱۳۸۵,مشاور املاک,چهار,۲۴۰,توافقی,توافقی
3517,خانه و ویلا,تهران شهرک غرب,ارائه,۱۳۸۲,مشاور املاک,سه,۲۹۰,۵۰۰٫۰۰۰٫۰۰۰ تومان,۲۰٫۰۰۰٫۰۰۰ تومان
3518,خانه و ویلا,تهران زعفرانیه,ارائه,۱۳۷۸,مشاور املاک,پنج یا بیشتر,۱۵۰۰,۱٫۰۰۰٫۰۰۰٫۰۰۰ تومان,۱۱۰٫۰۰۰٫۰۰۰ تومان
3519,خانه و ویلا,تهران نارمک,ارائه,۱۳۹۴,مشاور املاک,یک,۶۱,۵۵٫۰۰۰٫۰۰۰ تومان,۳٫۰۰۰٫۰۰۰ تومان
3520,خانه و ویلا,تهران جردن,ارائه,۱۳۸۰,مشاور املاک,پنج یا بیشتر,۶۵۰,۲٫۵۰۰٫۰۰۰٫۰۰۰ تومان,مجانی
3521,خانه و ویلا,تهران پردیس,ارائه,۱۳۹۴,مشاور املاک,سه,۲۴۰,۱۰۰٫۰۰۰٫۰۰۰ تومان,۶٫۰۰۰٫۰۰۰ تومان
3522,خانه و ویلا,تهران محمودیه,ارائه,۱۳۸۹,مشاور املاک,سه,۳۲۰,۵۰۰٫۰۰۰٫۰۰۰ تومان,۳۰٫۰۰۰٫۰۰۰ تومان
3523,خانه و ویلا,تهران الهیه,ارائه,۱۳۸۱,شخصی,پنج یا بیشتر,۵۰۰,۳۰۰٫۰۰۰٫۰۰۰ تومان,۴۰٫۰۰۰٫۰۰۰ تومان
3524,خانه و ویلا,تهران پردیس,ارائه,۱۳۹۳,شخصی,سه,۱۸۰,۱۰۰٫۰۰۰٫۰۰۰ تومان,۲٫۵۰۰٫۰۰۰ تومان
3525,خانه و ویلا,تهران پرند,ارائه,۱۳۸۸,شخصی,سه,۱۶۰,۳۰٫۰۰۰٫۰۰۰ تومان,۱٫۵۰۰٫۰۰۰ تومان
3526,خانه و ویلا,تهران شهر ری,ارائه,۱۳۷۶,مشاور املاک,یک,۶۵,۲۰٫۰۰۰٫۰۰۰ تومان,۱٫۰۰۰٫۰۰۰ تومان
3527,خانه و ویلا,تهران پرند,ارائه,۱۳۸۸,شخصی,دو,۲۰۰,۳۵٫۰۰۰٫۰۰۰ تومان,۱٫۵۰۰٫۰۰۰ تومان
3528,خانه و ویلا,تهران بهاران,ارائه,۱۳۸۵,شخصی,یک,۶۰,۳۰٫۰۰۰٫۰۰۰ تومان,مجانی
3529,خانه و ویلا,تهران شهرک ولیعصر,ارائه,۱۳۸۱,مشاور املاک,دو,۷۳,۱۰٫۰۰۰٫۰۰۰ تومان,۱٫۰۰۰٫۰۰۰ تومان
3530,خانه و ویلا,تهران شهرک ولیعصر,ارائه,۱۳۸۰,شخصی,یک,۱۲۰,۱۲۰٫۰۰۰٫۰۰۰ تومان,۱٫۰۰۰ تومان
3531,خانه و ویلا,تهران امام حسین(ع),ارائه,قبل از ۱۳۷۰,مشاور املاک,بدون اتاق,۵۰,۶۰٫۰۰۰٫۰۰۰ تومان,مجانی
3532,خانه و ویلا,تهران جنت‌آباد شمالی,ارائه,۱۳۹۸,شخصی,بدون اتاق,۴,۳٫۰۰۰٫۰۰۰ تومان,۱٫۰۰۰ تومان
3533,خانه و ویلا,تهران ابوذر,ارائه,۱۳۹۴,شخصی,دو,۲۵۰,توافقی,توافقی
3534,خانه و ویلا,تهران ازگل,ارائه,قبل از ۱۳۷۰,شخصی,یک,۹۰,۳۰٫۰۰۰٫۰۰۰ تومان,۵٫۰۰۰٫۰۰۰ تومان
3535,خانه و ویلا,تهران بومهن,ارائه,۱۳۹۸,شخصی,دو,۲۳۰,۱۰۰٫۰۰۰٫۰۰۰ تومان,مجانی
3536,خانه و ویلا,تهران لواسان,ارائه,۱۳۹۰,شخصی,دو,۱۲۰,۲۳۰٫۰۰۰٫۰۰۰ تومان,توافقی
3537,خانه و ویلا,تهران پونک,ارائه,۱۳۸۴,شخصی,سه,۱۵۰,توافقی,توافقی
3538,خانه و ویلا,تهران قرچک,ارائه,۱۳۹۰,شخصی,یک,۶۰,۵۰٫۰۰۰٫۰۰۰ تومان,توافقی
3539,خانه و ویلا,تهران نارمک,ارائه,قبل از ۱۳۷۰,شخصی,چهار,۱۵۰,۶۰٫۰۰۰٫۰۰۰ تومان,۷٫۰۰۰٫۰۰۰ تومان
3540,خانه و ویلا,تهران شهر ری,ارائه,۱۳۸۷,شخصی,دو,۱۲۰,۷۰٫۰۰۰٫۰۰۰ تومان,۵۰۰٫۰۰۰ تومان
3541,خانه و ویلا,تهران جنت‌آباد شمالی,ارائه,۱۳۹۷,شخصی,بدون اتاق,۵۰۰,۱۰۰٫۰۰۰ تومان,۴۰۰٫۰۰۰ تومان
3542,خانه و ویلا,تهران نظام‌آباد,ارائه,قبل از ۱۳۷۰,شخصی,بدون اتاق,۵۸,۵۰٫۰۰۰٫۰۰۰ تومان,توافقی
3543,خانه و ویلا,تهران شهرک غرب,ارائه,۱۳۷۵,مشاور املاک,پنج یا بیشتر,۵۲۰,۳۵۰٫۰۰۰٫۰۰۰ تومان,۳۵۰٫۰۰۰٫۰۰۰ تومان
3544,خانه و ویلا,تهران ده‌ونک,ارائه,۱۳۸۵,مشاور املاک,دو,۱۰۰,۵۰٫۰۰۰٫۰۰۰ تومان,۴٫۵۰۰٫۰۰۰ تومان
3545,خانه و ویلا,تهران شهریار,ارائه,۱۳۹۵,شخصی,دو,۴۰۰,توافقی,۳۰۰٫۰۰۰ تومان
3546,خانه و ویلا,تهران شهر ری,ارائه,۱۳۸۰,شخصی,یک,۸۰,۱۰۰٫۰۰۰٫۰۰۰ تومان,مجانی
3547,خانه و ویلا,تهران قیامدشت,ارائه,۱۳۹۸,مشاور املاک,بدون اتاق,۱۱۱,۱٫۰۰۰٫۰۰۰ تومان,۱٫۰۰۰٫۰۰۰ تومان
3548,خانه و ویلا,تهران پیروزی,ارائه,۱۳۷۱,مشاور املاک,چهار,۱۳۰,۴۰٫۰۰۰٫۰۰۰ تومان,۳٫۰۰۰٫۰۰۰ تومان
3549,خانه و ویلا,تهران شمیران‌نو,ارائه,۱۳۷۸,مشاور املاک,بدون اتاق,۵۰,۱۰٫۰۰۰٫۰۰۰ تومان,۸۵۰٫۰۰۰ تومان
3550,خانه و ویلا,تهران شهریار,ارائه,۱۳۹۸,شخصی,دو,۵۰۰,توافقی,۴۵۰٫۰۰۰٫۰۰۰ تومان
3551,خانه و ویلا,تهران دولاب,ارائه,قبل از ۱۳۷۰,مشاور املاک,سه,۷۵,۸۰٫۰۰۰٫۰۰۰ تومان,۶۰۰٫۰۰۰ تومان
3552,خانه و ویلا,تهران فلاح,ارائه,قبل از ۱۳۷۰,شخصی,یک,۴۸,۲۰٫۰۰۰٫۰۰۰ تومان,۷۰۰٫۰۰۰ تومان
3553,خانه و ویلا,تهران جوادیه,ارائه,قبل از ۱۳۷۰,شخصی,یک,۲۵,۱۰٫۰۰۰٫۰۰۰ تومان,۷۰۰٫۰۰۰ تومان
3554,خانه و ویلا,تهران پرند,ارائه,۱۳۹۰,مشاور املاک,دو,۱۶۰,۵۰٫۰۰۰٫۰۰۰ تومان,۱٫۲۰۰٫۰۰۰ تومان
3555,خانه و ویلا,تهران دولاب,ارائه,۱۳۷۱,شخصی,یک,۵۰,۵۰٫۰۰۰٫۰۰۰ تومان,۵۰۰٫۰۰۰ تومان
3556,خانه و ویلا,تهران مطهری,ارائه,۱۳۷۸,مشاور املاک,دو,۱۳۵,۳۵۰٫۰۰۰٫۰۰۰ تومان,توافقی
3557,خانه و ویلا,تهران شهرک غرب,ارائه,۱۳۸۵,شخصی,چهار,۶۵۰,۱٫۴۰۰٫۰۰۰٫۰۰۰ تومان,۱۲٫۰۰۰٫۰۰۰ تومان
3558,خانه و ویلا,تهران شهر قدس,ارائه,۱۳۸۵,شخصی,دو,۵۵,۶۰٫۰۰۰٫۰۰۰ تومان,۱٫۰۰۰ تومان
3559,خانه و ویلا,تهران الهیه,ارائه,۱۳۷۶,مشاور املاک,پنج یا بیشتر,۳۵۰,توافقی,توافقی
3560,خانه و ویلا,تهران تهرانپارس شرقی,ارائه,۱۳۸۸,شخصی,دو,۱۱۵,۷۰٫۰۰۰٫۰۰۰ تومان,۲٫۵۰۰٫۰۰۰ تومان
3561,خانه و ویلا,تهران شهرک غرب,ارائه,۱۳۹۰,مشاور املاک,پنج یا بیشتر,۹۰۰,۱٫۰۰۰٫۰۰۰٫۰۰۰ تومان,۱۲۰٫۰۰۰٫۰۰۰ تومان
3562,خانه و ویلا,تهران اندیشه,ارائه,۱۳۹۲,مشاور املاک,دو,۱۲۰,۶۵٫۰۰۰٫۰۰۰ تومان,۱٫۰۰۰٫۰۰۰ تومان
3563,خانه و ویلا,تهران پونک,ارائه,۱۳۸۳,شخصی,دو,۱۲۵,۱۰۰٫۰۰۰٫۰۰۰ تومان,۳٫۲۰۰٫۰۰۰ تومان
3564,خانه و ویلا,تهران الهیه,ارائه,۱۳۸۰,مشاور املاک,دو,۲۳۰,۱٫۲۰۰٫۰۰۰٫۰۰۰ تومان,مجانی
