,category,place,ad_type,year_of_construction,Advertiser,Room_number,Area,Deposit,Lease
498,خانه و ویلا,تهران شهریار,ارائه,۱۳۸۵,شخصی,دو,۱۱۰,۱۲۰٫۰۰۰٫۰۰۰ تومان,مجانی
499,خانه و ویلا,تهران مسعودیه,ارائه,۱۳۷۱,شخصی,پنج یا بیشتر,۱۶۰,۱۵۰٫۰۰۰٫۰۰۰ تومان,مجانی
500,خانه و ویلا,تهران فرمانیه,ارائه,۱۳۹۳,مشاور املاک,پنج یا بیشتر,۱۵۰۰,توافقی,توافقی
501,خانه و ویلا,تهران جی,ارائه,۱۳۷۱,شخصی,دو,۷۲,۸۰٫۰۰۰٫۰۰۰ تومان,۱٫۰۰۰٫۰۰۰ تومان
502,خانه و ویلا,تهران شهرک غرب,ارائه,۱۳۸۴,مشاور املاک,دو,۱۵۰,۷۵۰٫۰۰۰٫۰۰۰ تومان,توافقی
503,خانه و ویلا,تهران زعفرانیه,ارائه,۱۳۸۲,شخصی,چهار,۱۲۵۰,توافقی,توافقی
504,خانه و ویلا,تهران شهرک غرب,ارائه,۱۳۹۸,مشاور املاک,دو,۱۳۵,۲۰۰٫۰۰۰٫۰۰۰ تومان,۱۰٫۰۰۰٫۰۰۰ تومان
505,خانه و ویلا,تهران دولاب,ارائه,قبل از ۱۳۷۰,شخصی,دو,۶۰,۳۵٫۰۰۰٫۰۰۰ تومان,۱٫۰۰۰٫۰۰۰ تومان
506,خانه و ویلا,تهران جیحون,ارائه,۱۳۷۸,مشاور املاک,پنج یا بیشتر,۶۵,۱۵۰٫۰۰۰٫۰۰۰ تومان,۱ تومان
507,خانه و ویلا,تهران شهرک غرب,ارائه,۱۳۹۸,مشاور املاک,چهار,۳۰۰,۱٫۴۰۰٫۰۰۰٫۰۰۰ تومان,توافقی
508,خانه و ویلا,تهران فشم,ارائه,۱۳۹۶,شخصی,پنج یا بیشتر,۱۳۵۰,توافقی,۵٫۰۰۰٫۰۰۰ تومان
509,خانه و ویلا,تهران پرند,ارائه,۱۳۸۶,شخصی,دو,۱۰۵,۴۰٫۰۰۰٫۰۰۰ تومان,۱٫۱۰۰٫۰۰۰ تومان
510,خانه و ویلا,تهران اقدسیه,ارائه,۱۳۹۳,مشاور املاک,دو,۱۴۰,۶۰۰٫۰۰۰٫۰۰۰ تومان,توافقی
511,خانه و ویلا,تهران زعفرانیه,ارائه,۱۳۷۸,مشاور املاک,چهار,۲۸۰,توافقی,توافقی
512,خانه و ویلا,تهران استاد معین,ارائه,۱۳۷۱,مشاور املاک,بدون اتاق,۵۰,۶۰٫۰۰۰٫۰۰۰ تومان,مجانی
513,خانه و ویلا,تهران جیحون,ارائه,قبل از ۱۳۷۰,مشاور املاک,دو,۶۰,۱۵٫۰۰۰٫۰۰۰ تومان,۱٫۵۰۰٫۰۰۰ تومان
514,خانه و ویلا,تهران شهرک غرب,ارائه,۱۳۹۸,مشاور املاک,چهار,۲۸۰,۲۰۰٫۰۰۰٫۰۰۰ تومان,۱۸٫۰۰۰٫۰۰۰ تومان
515,خانه و ویلا,تهران پونک,ارائه,۱۳۷۵,مشاور املاک,دو,۱۲۰,۲۵۰٫۰۰۰٫۰۰۰ تومان,توافقی
516,خانه و ویلا,تهران شهریار,ارائه,۱۳۹۷,شخصی,یک,۱۲۰۰,توافقی,۴۰۰٫۰۰۰ تومان
517,خانه و ویلا,تهران الهیه,ارائه,۱۳۸۴,مشاور املاک,پنج یا بیشتر,۶۰۰,۵۰۰٫۰۰۰٫۰۰۰ تومان,۸۰٫۰۰۰٫۰۰۰ تومان
518,خانه و ویلا,تهران شهران شمالی,ارائه,۱۳۹۳,شخصی,سه,۶۰۰,توافقی,توافقی
519,خانه و ویلا,تهران شهرک غرب,ارائه,۱۳۹۸,شخصی,چهار,۳۰۰,توافقی,توافقی
520,خانه و ویلا,تهران رودهن,ارائه,۱۳۹۰,شخصی,یک,۵۰۰,توافقی,توافقی
521,خانه و ویلا,تهران دروس,ارائه,۱۳۸۰,مشاور املاک,پنج یا بیشتر,۳۰۰,۷۸۰٫۰۰۰٫۰۰۰ تومان,توافقی
522,خانه و ویلا,تهران شهر قدس,ارائه,۱۳۹۲,مشاور املاک,دو,۱۵۵,۹۰٫۰۰۰٫۰۰۰ تومان,۱٫۰۰۰ تومان
523,خانه و ویلا,تهران الهیه,ارائه,۱۳۹۴,مشاور املاک,پنج یا بیشتر,۸۵۰,۵۰۰٫۰۰۰٫۰۰۰ تومان,۷۰٫۰۰۰٫۰۰۰ تومان
524,خانه و ویلا,تهران حکیمیه,ارائه,۱۳۸۹,مشاور املاک,سه,۲۰۰,۴۰۰٫۰۰۰٫۰۰۰ تومان,توافقی
525,خانه و ویلا,تهران شیخ هادی,ارائه,قبل از ۱۳۷۰,شخصی,دو,۷۰,۱۰۰٫۰۰۰٫۰۰۰ تومان,توافقی
526,خانه و ویلا,تهران هاشم‌آباد,ارائه,قبل از ۱۳۷۰,شخصی,دو,۱۲۰,۱۵٫۰۰۰٫۰۰۰ تومان,۱٫۲۰۰٫۰۰۰ تومان
527,خانه و ویلا,تهران شهرک غرب,ارائه,۱۳۸۰,مشاور املاک,سه,۱۶۰,۷۵۰٫۰۰۰٫۰۰۰ تومان,مجانی
528,خانه و ویلا,تهران شهرک غرب,ارائه,۱۳۷۳,مشاور املاک,پنج یا بیشتر,۵۲۰,۲٫۶۰۰٫۰۰۰٫۰۰۰ تومان,۱٫۰۰۰ تومان
529,خانه و ویلا,تهران اقدسیه,ارائه,۱۳۸۰,مشاور املاک,چهار,۳۰۰,۵۰۰٫۰۰۰٫۰۰۰ تومان,۲۵٫۰۰۰٫۰۰۰ تومان
530,خانه و ویلا,تهران جردن,ارائه,۱۳۷۵,مشاور املاک,پنج یا بیشتر,۷۰۰,توافقی,توافقی
531,خانه و ویلا,تهران قیطریه,ارائه,۱۳۹۵,مشاور املاک,پنج یا بیشتر,۳۵۰,۱٫۳۰۰٫۰۰۰٫۰۰۰ تومان,توافقی
532,خانه و ویلا,تهران مشیریه,ارائه,۱۳۸۰,شخصی,دو,۹۵,۱۲۰٫۰۰۰٫۰۰۰ تومان,مجانی
533,خانه و ویلا,تهران یوسف‌آباد,ارائه,قبل از ۱۳۷۰,مشاور املاک,پنج یا بیشتر,۱۰۰۰,توافقی,توافقی
534,خانه و ویلا,تهران جیحون,ارائه,قبل از ۱۳۷۰,شخصی,بدون اتاق,۳۵,۱۲٫۰۰۰٫۰۰۰ تومان,۱٫۰۰۰٫۰۰۰ تومان
535,خانه و ویلا,تهران پرند,ارائه,۱۳۹۰,مشاور املاک,دو,۲۱۰,۵۰٫۰۰۰٫۰۰۰ تومان,۱٫۸۰۰٫۰۰۰ تومان
536,خانه و ویلا,تهران زعفرانیه,ارائه,۱۳۸۰,مشاور املاک,سه,۳۰۰,۵۰۰٫۰۰۰٫۰۰۰ تومان,۲۱٫۰۰۰٫۰۰۰ تومان
537,خانه و ویلا,تهران رودهن,ارائه,۱۳۸۰,شخصی,دو,۱۰۰,۵۰٫۰۰۰٫۰۰۰ تومان,۱٫۰۰۰٫۰۰۰ تومان
538,خانه و ویلا,تهران کن,ارائه,قبل از ۱۳۷۰,شخصی,دو,۱۲۰,۱۱۰٫۰۰۰٫۰۰۰ تومان,۱٫۰۰۰ تومان
539,خانه و ویلا,تهران جنت‌آباد جنوبی,ارائه,۱۳۹۷,شخصی,سه,۶۰۰,توافقی,توافقی
540,خانه و ویلا,تهران شهریار,ارائه,۱۳۹۷,شخصی,یک,۷۲۰,توافقی,توافقی
541,خانه و ویلا,تهران پاسداران,ارائه,۱۳۸۰,مشاور املاک,پنج یا بیشتر,۴۰۰,۲۰۰٫۰۰۰٫۰۰۰ تومان,۲۷٫۰۰۰٫۰۰۰ تومان
542,خانه و ویلا,تهران سعادت‌آباد,ارائه,۱۳۹۶,شخصی,دو,۱۸۵۰,مجانی,۱٫۰۰۰٫۰۰۰ تومان
543,خانه و ویلا,تهران شهریار,ارائه,۱۳۹۷,شخصی,یک,۱۵۰۰,توافقی,توافقی
544,خانه و ویلا,تهران دروس,ارائه,۱۳۷۲,مشاور املاک,چهار,۳۰۰,۶۹۰٫۰۰۰٫۰۰۰ تومان,توافقی
545,خانه و ویلا,تهران پاسداران,ارائه,۱۳۹۸,مشاور املاک,پنج یا بیشتر,۲۸۰,توافقی,توافقی
546,خانه و ویلا,تهران سعادت‌آباد,ارائه,۱۳۸۵,مشاور املاک,سه,۱۵۵,۱۵۰٫۰۰۰٫۰۰۰ تومان,۵٫۵۰۰٫۰۰۰ تومان
547,خانه و ویلا,تهران شهرک غرب,ارائه,۱۳۸۴,مشاور املاک,چهار,۲۵۰,۱٫۴۰۰٫۰۰۰٫۰۰۰ تومان,مجانی
548,خانه و ویلا,تهران میرداماد,ارائه,۱۳۸۰,مشاور املاک,پنج یا بیشتر,۵۱۰,۱٫۵۰۰٫۰۰۰٫۰۰۰ تومان,توافقی
549,خانه و ویلا,تهران پیروزی,ارائه,قبل از ۱۳۷۰,مشاور املاک,دو,۱۲۰,۲۰۰٫۰۰۰٫۰۰۰ تومان,۱٫۰۰۰ تومان
550,خانه و ویلا,تهران تهرانپارس غربی,ارائه,۱۳۷۱,مشاور املاک,یک,۹۰,۲۰٫۰۰۰٫۰۰۰ تومان,۲٫۰۰۰٫۰۰۰ تومان
551,خانه و ویلا,تهران آذری,ارائه,قبل از ۱۳۷۰,مشاور املاک,یک,۵۰,۱۰٫۰۰۰٫۰۰۰ تومان,۱٫۲۰۰٫۰۰۰ تومان
552,خانه و ویلا,تهران پاسداران,ارائه,۱۳۹۸,شخصی,چهار,۶۰۰۰,توافقی,توافقی
553,خانه و ویلا,تهران شهرک غرب,ارائه,۱۳۹۸,شخصی,سه,۲۱۰,توافقی,توافقی
554,خانه و ویلا,تهران اندیشه,ارائه,۱۳۹۶,شخصی,سه,۱۵۰,۱۵۰٫۰۰۰٫۰۰۰ تومان,۱٫۰۰۰ تومان
555,خانه و ویلا,تهران تهرانپارس شرقی,ارائه,۱۳۸۷,شخصی,دو,۱۰۸,۵۵٫۰۰۰٫۰۰۰ تومان,۹۰۰٫۰۰۰ تومان
556,خانه و ویلا,تهران اسفندیاری,ارائه,۱۳۸۷,شخصی,چهار,۹۰,۱۲۰٫۰۰۰٫۰۰۰ تومان,۱٫۳۰۰٫۰۰۰ تومان
557,خانه و ویلا,تهران الهیه,ارائه,قبل از ۱۳۷۰,مشاور املاک,پنج یا بیشتر,۳۳۰,۳۰۰٫۰۰۰٫۰۰۰ تومان,۳۵٫۰۰۰٫۰۰۰ تومان
558,خانه و ویلا,تهران زعفرانیه,ارائه,۱۳۷۵,مشاور املاک,چهار,۳۶۰,۹۰۰٫۰۰۰٫۰۰۰ تومان,توافقی
559,خانه و ویلا,تهران استخر,ارائه,۱۳۹۲,شخصی,یک,۵۵,۳۰٫۰۰۰٫۰۰۰ تومان,۳۰۰٫۰۰۰ تومان
560,خانه و ویلا,تهران شهرک غرب,ارائه,۱۳۹۶,شخصی,چهار,۳۰۰,توافقی,توافقی
561,خانه و ویلا,تهران شهرک غرب,ارائه,۱۳۹۸,مشاور املاک,دو,۳۳۰,توافقی,توافقی
562,خانه و ویلا,تهران ورامین,ارائه,۱۳۸۹,شخصی,دو,۱۶۰,۵۰٫۰۰۰٫۰۰۰ تومان,۵۰٫۰۰۰ تومان
563,خانه و ویلا,تهران نارمک,ارائه,۱۳۷۳,مشاور املاک,دو,۹۰,توافقی,توافقی
564,خانه و ویلا,تهران صادقیه,ارائه,قبل از ۱۳۷۰,شخصی,پنج یا بیشتر,۴۷۹,توافقی,توافقی
565,خانه و ویلا,تهران شهرک غرب,ارائه,۱۳۸۵,مشاور املاک,چهار,۳۳۰,توافقی,توافقی
566,خانه و ویلا,تهران نارمک,ارائه,۱۳۷۱,شخصی,دو,۱۴۰,۳۰ تومان,۳٫۰۰۰٫۰۰۰ تومان
567,خانه و ویلا,تهران تهرانپارس غربی,ارائه,۱۳۹۶,شخصی,دو,۵۰۰,توافقی,توافقی
568,خانه و ویلا,تهران اقدسیه,ارائه,۱۳۹۸,مشاور املاک,چهار,۴۰۰,۵۰۰٫۰۰۰٫۰۰۰ تومان,۵۰٫۰۰۰٫۰۰۰ تومان
569,خانه و ویلا,تهران نظام‌آباد,ارائه,۱۳۸۰,شخصی,یک,۴۵,۲۰٫۰۰۰٫۰۰۰ تومان,۸۰۰٫۰۰۰ تومان
570,خانه و ویلا,تهران میرداماد,ارائه,۱۳۷۳,مشاور املاک,سه,۲۸۰,۱۰۰٫۰۰۰٫۰۰۰ تومان,۱۲٫۵۰۰٫۰۰۰ تومان
571,خانه و ویلا,تهران رودهن,ارائه,۱۳۹۸,شخصی,بدون اتاق,۳۰,مجانی,۲۰۰٫۰۰۰ تومان
572,خانه و ویلا,تهران حشمتیه,ارائه,قبل از ۱۳۷۰,مشاور املاک,یک,۷۰,۱۰۰٫۰۰۰٫۰۰۰ تومان,مجانی
573,خانه و ویلا,تهران طالقانی,ارائه,قبل از ۱۳۷۰,شخصی,پنج یا بیشتر,۲۰۲,۶۰۰٫۰۰۰٫۰۰۰ تومان,۱۰٫۰۰۰ تومان
574,خانه و ویلا,تهران فرمانیه,ارائه,۱۳۸۳,مشاور املاک,سه,۲۵۰,۱۵۰٫۰۰۰٫۰۰۰ تومان,۱۳٫۰۰۰٫۰۰۰ تومان
575,خانه و ویلا,تهران پیروزی,ارائه,۱۳۸۸,شخصی,دو,۴۸,توافقی,توافقی
576,خانه و ویلا,تهران دروس,ارائه,۱۳۸۰,مشاور املاک,چهار,۲۸۵,۱۵۰٫۰۰۰٫۰۰۰ تومان,۱۰٫۰۰۰٫۰۰۰ تومان
577,خانه و ویلا,تهران شهرک غرب,ارائه,۱۳۸۲,مشاور املاک,سه,۱۸۵,۱۰۰٫۰۰۰٫۰۰۰ تومان,۱۳٫۰۰۰٫۰۰۰ تومان
578,خانه و ویلا,تهران تهرانپارس شرقی,ارائه,قبل از ۱۳۷۰,شخصی,دو,۱۰۰,توافقی,۷۵۰٫۰۰۰ تومان
579,خانه و ویلا,تهران سوهانک,ارائه,۱۳۹۴,شخصی,دو,۵۵۰,توافقی,توافقی
580,خانه و ویلا,تهران خزانه,ارائه,قبل از ۱۳۷۰,شخصی,دو,۱۰۰,توافقی,توافقی
581,خانه و ویلا,تهران یوسف‌آباد,ارائه,۱۳۷۵,مشاور املاک,چهار,۳۰۰,۲۵۰٫۰۰۰٫۰۰۰ تومان,۱۰٫۰۰۰٫۰۰۰ تومان
582,خانه و ویلا,تهران استاد معین,ارائه,۱۳۷۱,شخصی,دو,۷۲,۸۰٫۰۰۰٫۰۰۰ تومان,۱٫۰۰۰٫۰۰۰ تومان
583,خانه و ویلا,تهران تجریش,ارائه,۱۳۹۳,شخصی,پنج یا بیشتر,۴۰۰۰,۱٫۰۰۰٫۰۰۰٫۰۰۰ تومان,۲۳۰٫۰۰۰٫۰۰۰ تومان
584,خانه و ویلا,تهران نظام‌آباد,ارائه,قبل از ۱۳۷۰,شخصی,دو,۸۰,۱۳۰٫۰۰۰٫۰۰۰ تومان,مجانی
585,خانه و ویلا,تهران شهرک غرب,ارائه,۱۳۸۵,مشاور املاک,دو,۱۵۵,۸۰۰٫۰۰۰٫۰۰۰ تومان,مجانی
586,خانه و ویلا,تهران پرند,ارائه,۱۳۸۷,شخصی,دو,۲۰۰,۵۰٫۰۰۰٫۰۰۰ تومان,۲٫۴۰۰٫۰۰۰ تومان
587,خانه و ویلا,تهران پاکدشت,ارائه,۱۳۹۶,مشاور املاک,یک,۶۵,۷٫۰۰۰٫۰۰۰ تومان,۳۰۰٫۰۰۰ تومان
588,خانه و ویلا,تهران امام حسین(ع),ارائه,۱۳۹۸,شخصی,دو,۱۰۰,توافقی,توافقی
589,خانه و ویلا,تهران بومهن,ارائه,۱۳۹۰,شخصی,یک,۶۵,۴۰٫۰۰۰٫۰۰۰ تومان,۴۰۰٫۰۰۰ تومان
590,خانه و ویلا,تهران شهرک کیانشهر,ارائه,قبل از ۱۳۷۰,شخصی,یک,۶۵,۱۰٫۰۰۰٫۰۰۰ تومان,۱٫۴۰۰٫۰۰۰ تومان
591,خانه و ویلا,تهران مطهری,ارائه,قبل از ۱۳۷۰,شخصی,چهار,۲۵۰,۱۰۰٫۰۰۰٫۰۰۰ تومان,۱۰٫۰۰۰٫۰۰۰ تومان
592,خانه و ویلا,تهران شهرک غرب,ارائه,۱۳۹۳,مشاور املاک,یک,۷۵,توافقی,توافقی
593,خانه و ویلا,تهران تهرانپارس شرقی,ارائه,۱۳۸۸,شخصی,یک,۶۰,۱۵٫۰۰۰٫۰۰۰ تومان,۱٫۳۰۰٫۰۰۰ تومان
594,خانه و ویلا,تهران بومهن,ارائه,۱۳۹۱,شخصی,دو,۱۲۰,۱۰٫۰۰۰٫۰۰۰ تومان,۸۰۰٫۰۰۰ تومان
595,خانه و ویلا,تهران کاروان,ارائه,۱۳۹۸,شخصی,یک,۱۰۰,۱۳۰٫۰۰۰٫۰۰۰ تومان,۱۰٫۰۰۰ تومان
596,خانه و ویلا,تهران ورامین,ارائه,۱۳۷۵,شخصی,دو,۲۵۰,۱۱۰٫۰۰۰٫۰۰۰ تومان,مجانی
597,خانه و ویلا,تهران باغ آذری,ارائه,۱۳۷۱,شخصی,سه,۸۰,۳۵٫۰۰۰٫۰۰۰ تومان,۱٫۰۰۰٫۰۰۰ تومان
598,خانه و ویلا,تهران شهرک محلاتی,ارائه,۱۳۷۱,شخصی,سه,۲۲۰,۵۳۰٫۰۰۰٫۰۰۰ تومان,۱٫۰۰۰ تومان
599,خانه و ویلا,تهران قیامدشت,ارائه,۱۳۸۸,شخصی,دو,۱۱۰,۱۵٫۰۰۰٫۰۰۰ تومان,توافقی
600,خانه و ویلا,تهران دولاب,ارائه,قبل از ۱۳۷۰,شخصی,سه,۸۰,۱۰۰٫۰۰۰٫۰۰۰ تومان,مجانی
601,خانه و ویلا,تهران بلوار کشاورز,ارائه,۱۳۹۷,شخصی,دو,۵۰۰,توافقی,توافقی
602,خانه و ویلا,تهران فرحزاد,ارائه,۱۳۹۰,شخصی,دو,۱۲۵۰,توافقی,توافقی
603,خانه و ویلا,تهران کوی هفدهم شهریور,ارائه,۱۳۷۸,شخصی,یک,۸۰,۵۰٫۰۰۰٫۰۰۰ تومان,۴۰۰٫۰۰۰ تومان
604,خانه و ویلا,تهران پرند,ارائه,۱۳۸۸,شخصی,یک,۶۴,۴۰٫۰۰۰٫۰۰۰ تومان,مجانی
605,خانه و ویلا,تهران قیطریه,ارائه,قبل از ۱۳۷۰,شخصی,پنج یا بیشتر,۳۵۰,توافقی,توافقی
606,خانه و ویلا,تهران شهرک غرب,ارائه,۱۳۸۲,شخصی,دو,۱۳۰,۴۹۰٫۰۰۰٫۰۰۰ تومان,مجانی
607,خانه و ویلا,تهران شهر ری,ارائه,قبل از ۱۳۷۰,شخصی,سه,۱۰۰,۳۰٫۰۰۰٫۰۰۰ تومان,۱٫۷۰۰٫۰۰۰ تومان
608,خانه و ویلا,تهران کوی هفدهم شهریور,ارائه,قبل از ۱۳۷۰,شخصی,چهار,۶۳,۵۰٫۰۰۰٫۰۰۰ تومان,۸۰۰٫۰۰۰ تومان
609,خانه و ویلا,تهران لواسان,ارائه,۱۳۹۸,شخصی,بدون اتاق,۹۶۰,۵۰٫۰۰۰٫۰۰۰ تومان,۴٫۵۰۰٫۰۰۰ تومان
610,خانه و ویلا,تهران شهر قدس,ارائه,۱۳۸۹,شخصی,یک,۱۰۰,۳۰٫۰۰۰٫۰۰۰ تومان,۸۰۰٫۰۰۰ تومان
611,خانه و ویلا,تهران فرمانیه,ارائه,۱۳۷۸,مشاور املاک,پنج یا بیشتر,۷۰۰,توافقی,توافقی
612,خانه و ویلا,تهران شهر قدس,ارائه,۱۳۹۲,شخصی,یک,۷۰,۳۰٫۰۰۰٫۰۰۰ تومان,۶۵۰٫۰۰۰ تومان
613,خانه و ویلا,تهران بازار,ارائه,قبل از ۱۳۷۰,شخصی,یک,۷۵,توافقی,توافقی
614,خانه و ویلا,تهران حکیمیه,ارائه,۱۳۷۵,شخصی,دو,۱۱۵,۱۸۰٫۰۰۰٫۰۰۰ تومان,۱٫۰۰۰٫۰۰۰ تومان
615,خانه و ویلا,تهران پردیس,ارائه,۱۳۹۷,شخصی,سه,۲۰۰,توافقی,توافقی
616,خانه و ویلا,تهران شهر ری,ارائه,۱۳۹۶,شخصی,یک,۵۵,۴۰٫۰۰۰٫۰۰۰ تومان,مجانی
617,خانه و ویلا,تهران رباط کریم,ارائه,۱۳۸۹,شخصی,یک,۵۰,۱۲۵٫۰۰۰٫۰۰۰ تومان,توافقی
618,خانه و ویلا,تهران مسعودیه,ارائه,قبل از ۱۳۷۰,شخصی,یک,۷۰,۱۵٫۰۰۰٫۰۰۰ تومان,۱٫۲۵۰٫۰۰۰ تومان
619,خانه و ویلا,تهران فلاح,ارائه,قبل از ۱۳۷۰,شخصی,چهار,۱۰۰,توافقی,توافقی
620,خانه و ویلا,تهران نیرو هوایی,ارائه,۱۳۸۰,مشاور املاک,دو,۱۱۰,۷۰٫۰۰۰٫۰۰۰ تومان,۲٫۵۰۰٫۰۰۰ تومان
621,خانه و ویلا,تهران پاسداران,ارائه,۱۳۸۷,شخصی,دو,۸۰,توافقی,۴۰۰٫۰۰۰ تومان
622,خانه و ویلا,تهران قرچک,ارائه,۱۳۸۹,شخصی,یک,۱۰۰,۶۳٫۰۰۰٫۰۰۰ تومان,مجانی
623,خانه و ویلا,تهران پامنار,ارائه,۱۳۷۵,شخصی,پنج یا بیشتر,۳۵۰,۵۰۰٫۰۰۰٫۰۰۰ تومان,مجانی
624,خانه و ویلا,تهران هاشم‌آباد,ارائه,قبل از ۱۳۷۰,شخصی,دو,۵۷,۱۱۰٫۰۰۰٫۰۰۰ تومان,۱٫۰۰۰ تومان
625,خانه و ویلا,تهران شهریار,ارائه,۱۳۹۵,شخصی,یک,۱۰۰۰,توافقی,توافقی
626,خانه و ویلا,تهران رودهن,ارائه,۱۳۹۶,مشاور املاک,سه,۲۵۰,توافقی,توافقی
627,خانه و ویلا,تهران پاسداران,ارائه,قبل از ۱۳۷۰,مشاور املاک,دو,۱۳۰,۸۰٫۰۰۰٫۰۰۰ تومان,۵٫۰۰۰٫۰۰۰ تومان
628,خانه و ویلا,تهران اوقاف,ارائه,۱۳۸۲,شخصی,یک,۷۵,۱۵٫۰۰۰٫۰۰۰ تومان,۱٫۳۰۰٫۰۰۰ تومان
629,خانه و ویلا,تهران رودهن,ارائه,۱۳۸۸,مشاور املاک,دو,۱۲۰,۸۰٫۰۰۰٫۰۰۰ تومان,۲٫۰۰۰٫۰۰۰ تومان
630,خانه و ویلا,تهران فشم,ارائه,۱۳۸۸,شخصی,پنج یا بیشتر,۱۰۰۰,توافقی,توافقی
631,خانه و ویلا,تهران اوقاف,ارائه,۱۳۸۴,مشاور املاک,یک,۵۰,۳۰٫۰۰۰٫۰۰۰ تومان,۱٫۱۰۰٫۰۰۰ تومان
632,خانه و ویلا,تهران تهرانپارس غربی,ارائه,۱۳۹۰,مشاور املاک,دو,۱۳۰,۴۰۰٫۰۰۰٫۰۰۰ تومان,مجانی
633,خانه و ویلا,تهران آزاد شهر,ارائه,قبل از ۱۳۷۰,شخصی,بدون اتاق,۳۰,۵٫۰۰۰٫۰۰۰ تومان,۵۰۰٫۰۰۰ تومان
634,خانه و ویلا,تهران استاد معین,ارائه,قبل از ۱۳۷۰,مشاور املاک,بدون اتاق,۱۲,۱۸٫۰۰۰٫۰۰۰ تومان,توافقی
635,خانه و ویلا,تهران نارمک,ارائه,۱۳۷۳,مشاور املاک,دو,۱۳۰,۴۰۰٫۰۰۰٫۰۰۰ تومان,۱۰۰٫۰۰۰ تومان
636,خانه و ویلا,تهران قرچک,ارائه,۱۳۹۱,مشاور املاک,یک,۵۳,۳۰٫۰۰۰٫۰۰۰ تومان,توافقی
637,خانه و ویلا,تهران شهرک غرب,ارائه,۱۳۹۱,مشاور املاک,سه,۲۷۰,۳۵۰٫۰۰۰٫۰۰۰ تومان,۳۰٫۰۰۰٫۰۰۰ تومان
638,خانه و ویلا,تهران شهرک ویلاشهر,ارائه,قبل از ۱۳۷۰,شخصی,سه,۲۵۰,توافقی,توافقی
639,خانه و ویلا,تهران رودهن,ارائه,۱۳۸۳,شخصی,دو,۱۳۵,۷۸٫۰۰۰٫۰۰۰ تومان,مجانی
640,خانه و ویلا,تهران رباط کریم,ارائه,۱۳۹۸,شخصی,دو,۱۰۲,۵۵٫۰۰۰٫۰۰۰ تومان,توافقی
641,خانه و ویلا,تهران پردیس,ارائه,۱۳۹۲,مشاور املاک,دو,۱۶۰,۸۰٫۰۰۰٫۰۰۰ تومان,۲٫۱۰۰٫۰۰۰ تومان
642,خانه و ویلا,تهران الهیه,ارائه,۱۳۹۷,شخصی,سه,۲۰۰۰,توافقی,توافقی
643,خانه و ویلا,تهران امام حسین(ع),ارائه,۱۳۸۲,شخصی,دو,۱۰۶,۵۰٫۰۰۰٫۰۰۰ تومان,۱٫۲۰۰٫۰۰۰ تومان
644,خانه و ویلا,تهران سلسبیل,ارائه,قبل از ۱۳۷۰,شخصی,دو,۸۰,۵٫۰۰۰٫۰۰۰ تومان,۱۵٫۰۰۰٫۰۰۰ تومان
645,خانه و ویلا,تهران تهرانپارس غربی,ارائه,۱۳۹۸,شخصی,پنج یا بیشتر,۴۰۰,۱٫۴۰۰٫۰۰۰٫۰۰۰ تومان,مجانی
646,خانه و ویلا,تهران الهیه,ارائه,۱۳۹۸,مشاور املاک,پنج یا بیشتر,۹۰۰,۱٫۹۰۰٫۰۰۰٫۰۰۰ تومان,توافقی
647,خانه و ویلا,تهران فشم,ارائه,۱۳۸۵,مشاور املاک,دو,۶۰۰,توافقی,توافقی
648,خانه و ویلا,تهران جنت‌‌آباد مرکزی,ارائه,۱۳۹۶,شخصی,سه,۸۵۰,۷۵۰٫۰۰۰ تومان,۷۵۰٫۰۰۰ تومان
649,خانه و ویلا,تهران تهرانپارس شرقی,ارائه,۱۳۹۸,شخصی,دو,۱۰۰۰,توافقی,توافقی
650,خانه و ویلا,تهران پیروزی,ارائه,۱۳۷۵,شخصی,پنج یا بیشتر,۱۰۰,۱۱۰٫۰۰۰٫۰۰۰ تومان,۲٫۰۰۰٫۰۰۰ تومان
651,خانه و ویلا,تهران امام حسین(ع),ارائه,۱۳۸۳,شخصی,یک,۱۰,۵۰۰٫۰۰۰ تومان,۴۸۰٫۰۰۰ تومان
652,خانه و ویلا,تهران شهرک غرب,ارائه,۱۳۹۲,مشاور املاک,دو,۱۵۷,توافقی,توافقی
653,خانه و ویلا,تهران درکه,ارائه,۱۳۸۵,شخصی,بدون اتاق,۳۵,۵٫۰۰۰٫۰۰۰ تومان,۹۰۰٫۰۰۰ تومان
654,خانه و ویلا,تهران جمهوری,ارائه,۱۳۹۸,شخصی,یک,۶۸۰,۲۵۰٫۰۰۰٫۰۰۰ تومان,مجانی
655,خانه و ویلا,تهران زعفرانیه,ارائه,۱۳۸۰,مشاور املاک,سه,۲۷۰,۱٫۳۰۰٫۰۰۰٫۰۰۰ تومان,توافقی
656,خانه و ویلا,تهران رودهن,ارائه,۱۳۸۸,شخصی,دو,۱۱۳,۱۱۰٫۰۰۰٫۰۰۰ تومان,توافقی
657,خانه و ویلا,تهران شهرک غرب,ارائه,۱۳۹۸,مشاور املاک,پنج یا بیشتر,۷۰۰,توافقی,توافقی
658,خانه و ویلا,تهران شهرک غرب,ارائه,۱۳۹۰,مشاور املاک,سه,۱۲۰,۵۰٫۰۰۰٫۰۰۰ تومان,۱۶٫۰۰۰٫۰۰۰ تومان
